"Município";"2026";"Total"
"410690 CURITIBA";7085;7085
"411370 LONDRINA";5648;5648
"411520 MARINGA";4260;4260
"410830 FOZ DO IGUACU";2916;2916
"411840 PARANAVAI";982;982
"410480 CASCAVEL";235;235
"410400 CAMPINA GRANDE DO SUL";144;144
"410940 GUARAPUAVA";66;66
"411990 PONTA GROSSA";63;63
"410140 APUCARANA";32;32
"410550 CIANORTE";24;24
"410430 CAMPO MOURAO";22;22
"410150 ARAPONGAS";21;21
"410860 GOIOERE";7;7
"410640 CORNELIO PROCOPIO";7;7
"412810 UMUARAMA";6;6
"410720 DOIS VIZINHOS";6;6
"410590 COLORADO";4;4
"410490 CASTRO";4;4
"410840 FRANCISCO BELTRAO";4;4
"411320 LAPA";4;4
"411980 PLANALTO";4;4
"410180 ARAUCARIA";1;1
"412550 SAO JOSE DOS PINHAIS";1;1
"290140 ANGICAL";-;-
"290120 ANAGE";-;-
"290130 ANDARAI";-;-
"290135 ANDORINHA";-;-
"290090 ALMADINA";-;-
"290080 ALCOBACA";-;-
"290100 AMARGOSA";-;-
"290115 AMERICA DOURADA";-;-
"290110 AMELIA RODRIGUES";-;-
"290190 APORA";-;-
"290180 ANTONIO GONCALVES";-;-
"290195 APUAREMA";-;-
"290205 ARACAS";-;-
"290200 ARACATU";-;-
"290160 ANTAS";-;-
"290150 ANGUERA";-;-
"291992 MADRE DE DEUS";-;-
"290170 ANTONIO CARDOSO";-;-
"291990 MACURURE";-;-
"290070 ALAGOINHAS";-;-
"280720 SIRIRI";-;-
"280710 SIMAO DIAS";-;-
"280730 TELHA";-;-
"280750 TOMAR DO GERU";-;-
"280740 TOBIAS BARRETO";-;-
"280670 SAO CRISTOVAO";-;-
"280660 SANTO AMARO DAS BROTAS";-;-
"280680 SAO DOMINGOS";-;-
"280700 SAO MIGUEL DO ALEIXO";-;-
"280690 SAO FRANCISCO";-;-
"290040 AGUA FRIA";-;-
"290035 ADUSTINA";-;-
"290050 ERICO CARDOSO";-;-
"280650 SANTA ROSA DE LIMA";-;-
"290060 AIQUARA";-;-
" MUNICIPIO IGNORADO - BA";-;-
"280760 UMBAUBA";-;-
"290010 ABAIRA";-;-
"290030 ACAJUTIBA";-;-
"290020 ABARE";-;-
"290430 BREJOES";-;-
"290420 BOTUPORA";-;-
"290440 BREJOLANDIA";-;-
"290450 BROTAS DE MACAUBAS";-;-
"291980 MACAUBAS";-;-
"290395 BOM JESUS DA SERRA";-;-
"290390 BOM JESUS DA LAPA";-;-
"290400 BONINAL";-;-
"290410 BOQUIRA";-;-
"290405 BONITO";-;-
"290460 BRUMADO";-;-
"290500 CACULE";-;-
"290490 CACHOEIRA";-;-
"290510 CAEM";-;-
"290520 CAETITE";-;-
"290515 CAETANOS";-;-
"290475 BURITIRAMA";-;-
"290470 BUERAREMA";-;-
"291970 MACARANI";-;-
